raw,cluster,s
"Flew into house, appeared non-aggressive to our attempts to usher it back outdoors. Turned off lights and opened doors with magazines to herd it out worked. It liked the picture of me on the wall, and also that of Mt Rainier in black and white. Scary thi",[1],Unverified
"I killed a murder wasp at my home in august of 2019, it was enormous, almost 2 inches long with an orange face and striped sides",[0],Unverified
Orange face bee with orange and black stripes flew by our windshield,[1],Unverified
Unusually large hornet spotting outside of Microsoft campus at an apartment complex.,[1],Unverified
"There is no mistaking these things. It was 1.5 to 2"" long and clearly matching the description. It flew into the car and tried to escape on my daughter's side. We opened the door and it flew out. We did not get a picture, it all happened too quickly.We w",[0],Unverified
"I don’t know if this is one, but it was out at night by a bug light and landed on my head. It was sluggish and I smashed it.",[1],Unverified
Update: it was at 10:30 pm,[1],Unverified
Was the largest hornet i habe ever seen. Big body more orange than yellow. Big black eyes on the head.,[1],Unverified
"I do not know the exact date, but roughly the above.  I am fairly knowledgeable where it regards hornets and their behavior, and first thing that came to my attention was how these hornets simply ignored me despite being only 1-2 feet away.  I witness th",[0],Unverified
"Only one, but buzzing around my deck, possibly looking for nesting spot. Couldn't get a picture.",[1],Unverified
I was checking to see if the hive of carpenter bees in a woodpile were active yet when I saw a huge orange bee near the entrance. I was not aware of the hornets presence or threat then. No activity this year at the carpenter bee hive.,[1],Unverified
There was two flying together as soon as I got on the on ramp to the freeway.,[1],Unverified
I was working outside and saw one fly by  me twice within a couple hours. It was a little over an inch long.,[1],Unverified
"I saw a giant hornet on Mount Rose Trail in Lilliwaup, whole hiking the trail I heard the wasp and saw it about two feet in front of me, it was huge and the buzzing sound was the loudest I’ve ever seen. Looked at it for about 10 seconds and had kids wi",[1],Unverified
"Not sure if that’s it or not, but this thing was huge..",[1],Unverified
Flew in around back patio while we were sitting there. Only about 1�?but I don’t recognize it.,[0],Unverified
"About an inch long, very big. Same colors as described.",[1],Unverified
I have seen one on two separate occassions at Steamboat Rock State Park @ Banks Lake. I was shocked at the size of this Hornet. They were not aggressive and somewhat slow moving. I didn't kill it because I thought it looked prehistoric and may be rare. I,[1],Unverified
Saw by house gutter. Flew up over roof. Yellow and black stripes and very large.,[0],Unverified
"I was gardening on my apartment patio, and I live right on the Spokane River. My cat spotted it, and I did not have my phone to take a picture. I had never seen anything like it before, but it was huge and looked like a giant bee but darker. Once I saw t",[1],Unverified
Captured this by my back door,[1],Unverified
"Squished this bug in my house without thinking much of it at first. It does not seem to have an orange head, but the rest of the description of the giant Asian hornet seems to match, and I can't think of what else it could be. About 2 cm long.",[1],Unverified
Neither my husband or I had a camera on hand; but it was buzzing by and was as large as a hummingbird...it was extremely loud and went past us and into the forest.  The two of us knew what it was right when we seen it but we didn’t know who or how to r,[0],Unverified
My mother and myself were sitting outside on lawn chairs and my mother noticed something large crawling near my metal fence post. About 6 feet away from where we were sitting. Not knowing how poisonous they are or even knowing killer wasps were a thing w,[1],Unverified
I am unsure if it’s a yellow jacket or giant hornet. This was in my backyard and somehow managed to get inside the house. It was about 1.5-2 inches long. This was in Shangri-la neighborhood on Whidbey island in Coupeville.,[0],Unverified
"It flew directly towards me, was huge with what appeared to be orange eyes.  I ran away so fast I cannot say for certain. So not 100% sure if huge hornet or the Asian hornet, but it did seem more orange (not yellow) in color.",[0],Unverified
"Hello, just wanted to let you know that we have Asian Giant Hornets in King County. My coworker caught one in our work truck. We had it in a coffee cup for a couple of hours, but it got out. We are 100% positive that it was an Asian Giant Hornet. I am go",[0],Unverified
Can’t send a pic from google imige,[1],Unverified
The homeowner called an exterminator so probably handled. I didn't take a picture because I didn't know what it was at the time but it was huge! He was spraying with bleach and it wasn't dying,[0],Unverified
"I poured myself a glass of wine, set it on the patio and went inside to check on dinner.  When I came back out I saw this giant ""bug"" was in wine.  I poured out into the garden and put the glass in the dishwasher.  When I went back outside the ""bug"" had",[0],Unverified
I have not seen one.  I am an engineer from Wisconsin and I have an idea of how to protect bee hives from the Wasp using Imaging technology.  Who can I contact?  I just want to help.,[0],Unverified
"I found it in my garage dead, weeks ago I sprayed my garage down with bug spray.",[0],Unverified
"Never seen before.it was huge. Flew in my van window landed on my shirt. Got scared and flicked my shirt , it went back out window. This was between Centralia, Washington and grand mound Washington on the freeway I .5",[0],Unverified
Seen multiple of these Allyn washington,[1],Unverified
"Might have been trapped in my car over weekend. It was still alive lethargic. At the time I didn’t know what it was, was stunned by it size and it’s giant orange head. I smashed it before I knew it would have been better to put it in a jar.",[1],Unverified
Large bee was flying around river bank. Only saw one.,[1],Unverified
This was the second giant bee that somehow got in to my house. The first one was seen at the end of December but I didn't get a picture of that one. The one in December was bigger. Both of them I trapped in a cup and let them outside. If I see another on,[0],Unverified
It was a baby murder hornet.,[0],Unverified
Saw a possible hornet outside our home by itself.,[1],Unverified
90% sure was a match. Killed it.,[0],Unverified
"My wife and I saw two very large hornets with orange on the head and on the body in our garden in Yelm, WA in mid August of 2019.  They were not agressive and were hovering around our garden area.  The hornets were very large, about twice as big as the l",[1],Unverified
Last fall I found what I thought was a large hornet maybe I thought it was a queen bee because if how large it was but seeing this information action now I can confirm this is the hornet I killed in my lawn in Lacey wa last August about mid month. It was,[1],Unverified
"I was working outside in my garden when it flew into the yard and stopped for a few seconds.  It was 2"" long, loud  wings when it flew like a humming bird, flew very fast.  It looked like a wasp.  We found some headless bees nearby",[1],Unverified
"Flew in front on me circled and flew off.  Immediately noticed it was large, 2 inches mostly black with a couple yellow/orange stripes on back part of body and same coloring on head. One body stripe may have been wider than the other stripe.",[0],Unverified
"My kids were in the backyard and came inside because they said what they at first thought was a bird, kept flying close above their heads. They realized it wasn’t a small bird, but a very large insect and came inside to tell me. They said it was black",[1],Unverified
"I was bringing firewood up to the house and at our wood pile, where I think one must have been sleeping.  I didn't know what it was, but it was huge.  I smashed it before it woke up enough to fly.  So it looks like we have those beats here in Olympia as",[1],Unverified
"Has lighter color, may be a bald faced hornet. But this guy is huge",[1],Unverified
Not able to capture photo but 90% positive based primarily on size and coloration.,[1],Unverified
I found one of these Hornets in my garden late in the summer in 2019. I'd never seen one or heard of one but the size and colors really stood out in my mind.,[0],Unverified
"Saw one in my garage on the window while I had the door open. Was surprised at seeing such a huge bee and its backside being more yellow than expected, I initially didn't think it was an Asian Hornet. Got closer and realized what I was looking at, went t",[1],Unverified
"It was dead in the road, as if it were hit. I was crossing the street and it caught my eye because it was so big! Not alive.",[1],Unverified
"Puppy found it by garden/hummingbird area on the ground, took dog in returned 15 seconds later and it was gone. Very large, knew what it when I saw it",[0],Unverified
"110% never seen a hornet this big with a huge yellow face. We left the park because we saw 2 of them. I did not want to get closer to snag a photo, but it was definitely the one you are looking for.",[1],Unverified
No photo.  I believe that I killed a giant asian hornet that somehow was inside my house.  It was not very active at the time so didn't cause a problem.  This happened before the first Seattle Times article on the subject appeared.  I live in the Ravensd,[1],Unverified
"All black, yellow at feet and antennas, light yellow possibly white strips",[0],Unverified
I heard a loud buzzing that sounded like it was inside my room. It was actually on the outside of the window and was over an inch long and very fat.,[0],Unverified
"Not sure..I live in Sandy Point, Ferndale. In my front yard. Didn't want to get to close. Thanks",[0],Unverified
Video I tried to attach last report,[1],Unverified
"the second time I saw one here -- we live next to Whatcom Falls Park.  It was moving fast and making noise but since boyhood I have been very interested in insects.  I even considered a career in entomology.   It was a hymnoptera 2"" long, and I don't thi",[1],Unverified
"Found on the ceiling inside our house. It was unusually large, with a brightly colored yellow spongy head. It was sluggish in movement, which made it easy to trap. It wasn't until after I relesed it that I realized it was extremely similar to an Asian Gi",[1],Unverified
It was the largest nastiest thing I've ever scene I new right a way it wasn't from around here it flue into my room through window walked around on my wall for a min I watched it from the my bed room door it was like the size of a bird it's been eating a,[0],Unverified
Largest bee I've ever seen it swirled my head twice very strong head wind and still it was charging me. It was a yellowish orange and black and looked like it had dragon fly like double set of wings...did not get a picture as I was too scared to be outsi,[1],Unverified
Was seen in a can light in our finished basement c by my 19 year old son and his friend.  They told us this morning what they saw as we were asleep.  They did not attempt to kill it as it was concerning to them.  Their description matches the description,[0],Unverified
For a few day these what we thought were giant yellow jackets of some kind kept flying around and trying to get into the truck,[1],Unverified
"Clara Sheridan, of the Jefferson Beach area south of Kingston, wrote this on NextDoor.com, with a title of 2"" Long Bee: ""Meant to mention this yesterday, but forgot.  I believe I encountered what is called a 'Killer Bee'. I delivered one parcel to a hous",[1],Unverified
"Found at rest on front porch—approx 9.5 mm long, yellow patches where wings join body (visible when wings extended)",[1],Unverified
"Not sure if this is an asian hornet but it was the biggest hornet/wasp like bug we have ever seen in this area, we wanted to send pictures just in case",[0],Unverified
Flew at my home and hit my picture window.  I was stunned by the color and size.,[1],Unverified
"This was in our house. We were able to vacuum it up. I couldn't see it in the vacuum canister, but didn't investigate. Had just read about the murder hornets and was a bit freaked out.",[1],Unverified
"Reported date is aproximate: I saw one from my home in Issaquah, Squak Mountain in the past 15 days. It flew by, hovering / circling once in the shrubs about 15-20 feet away.  I first thought it was a smallish humming bird with a bit red head. But now se",[1],Unverified
"Just like the pics, dark contrast coloring, very large mandibles and stinger, didn't know of the Asian Hornet at the time.  This insect was seen late last summer.",[1],Unverified
"was getting a water from my bird bath .was week and i crush it,it was about 2inch long .",[0],Unverified
I had an upside down bowl type of nest with about four cells inside built on my back porch. The Hornet was bigger than a Bumble bee.,[1],Unverified
"I have not seen any giant hornets in western WA, but I don't think these are new to Washington. Over the last 30 years or so I have seen some two inch very orange bees in eastern washington at Crescent Bar resort by the condominium resort pool. I've been",[0],Unverified
Massive. The video and picture are bad quality cause we didn't want to get near it. It was easily twice the size of a wasp. Hung around our balcony for a couple minutes and then flew off.,[1],Unverified
Trying to post the video. Already submitted a form.,[1],Unverified
I saw something very similar eating the sap on my cherry tree last spring. It was about 2�?long with an orange head. It flew at me and I ran inside to tell my husband. I’m sorry I don’t have a photo.,[0],Unverified
I apologize for not saving the carcas but I didn't realize this was an dangerous species. Two wasps entered my home and was really loud. Unmistakably loud. They were also aggresive coming at me when I tried to kill them. Their bodies were the biggest was,[1],Unverified
Video attached hopefully. There was only one hornet.,[1],Unverified
"it appeared to be 2"" at least, docile on a leaf, barely moving. only saw the one hornet",[1],Unverified
"About 1�?long, probably a yellow jacket but I want to be sure",[0],Unverified
"When I unwrapped my fountain, 3 what I thought were yellow jackets fell out.   I thought they were over an inch long.. Unfortunately, I did not know about the Hornets at that time.",[0],Unverified
"saw one buzzing around yesterday in the garden, later saw one in a water bowl, thought it was drowning, Got it out of bowl today into a container, the thing was still alive. Unfortunately the container is not clear.",[0],Unverified
"Noticed one buzzing around the garden last night, then later found it in the water bowl on the deck, thought it was drowning. Went out this morning to put it into a container to check if it really was one. The warm thing was still alive when I carefully",[1],Unverified
I destroyed a nest of these in Kirkland at LEAST 5 years ago. maybe 7.I just thought it was a really unusual hornet.,[0],Unverified
"I’m at work in Moses Lake, wa (Moses Lake Industies) wasp flew in front of a golf cart and hovered for a couple of seconds, then flew off. It was large and orange and black.",[0],Unverified
My son told me he saw a huge weird looking bee and he took a picture of it.  It’s nest was in the ground on the island of grass in the middle of the parents parking lot with trees near the little library. We didn’t think anything of it until we heard,[1],Unverified
"The Hornet landed on the vest of a surveyor, was very lethargic.",[1],Unverified
My son took this photo.  He said it was huge but not as huge as the hornets in the news.  Don't know what this was.,[0],Unverified
The hornet was captured in one of our light bulb containers and we didn't get it out for 2ish weeks.,[1],Unverified
So hill mall parking lot by target,[1],Unverified
"I saw a giant hornet flying at my back porch about a half hour ago. I ran into the house and got windex because it's all I had to defend myself and when I got back it was gone. I live at 6503 Markel Rd Deming, wa 98244",[0],Unverified
"We had a few of these flying around our house last year. they were HUGE! Not sure exactly when. They were flying around our Hydrangias. I remember them because I had seemn them on TV. I didn't know they ""weren't here"" yet. I will send photos if I see the",[1],Unverified
Big.  Please confirm what this is/was. Have photo,[0],Unverified
"A couple weeks ago we were rebuilding out fence and I saw this bee and it was huge! Nothing I had ever seen before, I had not heard anything about this bee until now.  I am pretty darn positive it was this bee - because of the orange head.  The size and",[1],Unverified
Spotted what might be a Murder Hornet at Sauvie Island,[1],Unverified
"we had what we thought was a bumble bee land on our screen door.  Upon closer inspection it was 2 hornets mating, VERY large hornets.  Unable to photograph or capture.",[1],Unverified
"Driving with an open window, the wasp flew into the vehicle. I noticed it resembled the photos I had just seen and was not any wasp I had seen in Kitsap County before. I’ve lived here since 1973.  I was about to kill it before it flew out the window.",[1],Unverified
I am pretty certain this is what I saw last summer.  My date is not exact.  I remember because I spent quite a long time searching online to figure out what kind of bee it was with no success.  When I saw the news article about it today I recognized it r,[0],Unverified
Had not read about the hornet. I found an extremely large “wasp�?with very different red markings on my front window...inside. I captured it and released outside. Few days later I read about the hornet and saw pictures. It’s very possible that was,[0],Unverified
"Very aggressive, came out of nowhere for no reason and began to attack, so we got our pool noodle out and smack it down to the ground and began to observe the critter. Definitely assign hornet we thought.",[1],Unverified
my neighbor said he saw one this week. I have been keeping a look out for them since i read one article to no avail. But being that i am deathly allergic to normal bees these kinda terrify me. we live  just off I5 on  HWY 530 Arlington Wa. the area is ca,[1],Unverified
Flying insect about 2�?long,[1],Unverified
"I noticed the large insect as it flew into my open front porch enclosure. I recognized that it wasn't a large bumble bee, an it wasn't a large wasp.  I've seen the large black hornets that live in the tall evergreen trees on the Key Peninsula, but this i",[1],Unverified
"Largest hornet like insect I’ve seen, about 1.5 inches easily. Thought it was worth sending in just in case.",[1],Unverified
"In Kennewick WA, 1402 14th street. While on the driveway working on a car this rather large bee flew over me and landed. It was easily over an inch in length. It's head was facing away from me, but I noticed two distinct and unique things. 1. The abdomen",[1],Unverified
"Seens several times in Conway, Wa.",[1],Unverified
"Seens several times in Conway, Wa.",[1],Unverified
Saw what looks like a giant Asian Hornet flying around my husband's truck in our driveway. I saw what I think was one a while ago in my house but it flew away before I could get a good look.,[0],Unverified
"It’s seem to tuck its tail while it was flying, but was much bigger and longer when it wasn’t flying",[0],Unverified
"We have been killing these at my cabin in eastern washington for the last 2 years, I sent a sample to some office in ORe. 2 years ago and never heard back",[0],Unverified
I live on the Lummi Nation Reservation and saw this hornet 2 times. I later learned about the invasion. We also had a huge hornet nest high up in a cotton wood tree that looked like a hornet nest. It would be wise for you all to get a trap out here. I li,[0],Unverified
"I cleared my lot line yesterday and an Asian Hornet was hovering in the corner of my covered area on my back porch. I do not have a photo, but there as no denying it!",[1],Unverified
"This is my ring video.  I have another video also from 4-6-2020, but it is not as sharp.  I have an acre with woods and have had bee (or hornet) hives underground  before In previous years, but nothing this big!",[0],Unverified
"Hornet looking like huge bumblebee, he was yellow and black. Hovered on my deck as I looked on through the glass doors. I also have a known bees nest on the deck I have yet to destroy. No photo.",[0],Unverified
I work for the Stillaguamish Tribe of Indians and we operate a rotary screw trap on the mainstem Stillaguamish river (RM 6) to monitor outmigrating salmon populations. Today my crew found a suspected asian hornet in the trap.  It was cold due to being in,[1],Unverified
Found this afternoon in poulsbo wa,[1],Unverified
"Between 1-2 inches long. Heard loud buzzing and saw it flying around an open door of our house, about 5 feet from me, for approx 5 seconds. It had a slightly darker complexion than a yellow jacket but similar pattern. Have not seen this before around the",[0],Unverified
"I saw a very large wasp-like insect in my back yard that backs onto a City owned watershed forest. The insect was much bigger than the wasps I am used to seeing here and was very aggressive, it chased me into my home. At the time, I just figured it was a",[1],Unverified
I know this is a horrible picture. Automatically taken by our wildlife camera.,[1],Unverified
"May have seen queen or hornet on orcas island. It flew past me over 75+ feet away so no clear identification. It was bigger then any insect I have seen here before, it appeared to be a giant black insect, and I could clearly see two long rear legs hangin",[1],Unverified
It flew into our house through an open window. About an inch long and visually identified to Asian Giant Hornet photos found online.,[1],Unverified
I was walking my dog (the week before I heard about hornet on the News) and notice a large hornet on a rhodendren bush I had never seen one that size and the color orange I had never seen before.  This was in Bridges on Cougar mountain. After seeing on n,[1],Unverified
"I didn’t see the murder hornet. However, I just found a honey bee with its head ripped off on my front stairs. I have never seen this before at our home and wasn’t sure if it is related to the murder hornet issue.",[1],Unverified
"My wife found this in the garden.  It is alive and appears to have a stinger which it moves around as if seeking to sting.  It appears to be coming out of the larval stage and has no thorax or head or wings, just the abdomen like section with stinger.  W",[1],Unverified
"We didn’t get a picture, but a large insect landed on my leg and my first thought was that it was an Asian Giant Hornet. I know this is likely not helpful, but felt like i should note it just in case.",[1],Unverified
It came in through my window and I trapped it between the glass & the screen. I’m not sure where it came from.,[0],Unverified
"Flew inside, killed it.",[0],Unverified
"Tried to report once before, I think the photo didn't upload.  Trying again.",[0],Unverified
Inside sprinkler control outside of house,[0],Unverified
"On Friday afternoon May 8th, I was contacted in person By Customs and Border Protection Officer Donavan Fuller who reported seeing what he believed to be Asian Giant Hornet (AGH) on the afternoon of May 6th.  Officer Fuller and CBP Officer Charles Davids",[1],Unverified
It was in the underground sprinkler controls boxes.,[1],Unverified
Quite sure it was an Asian Killer Hornet on deck railing. It took off before I could get a pic unfortunately.,[1],Unverified
i found it on a table on my patio that i am temporarly useing. it was unable to fly and was acting lick yellow jackets do when disturbed early in the year. it was larger than a bald headed hornet and had orange coloring . I was unaware of this hornet at,[0],Unverified
I was stopped in my car as I waited for the road to clear so I could head home. I looked left to double check it was safe to go. I saw a large insect that was reddish orange. I didn’t get a really close look because I was in my car and it darted away q,[0],Unverified
"Trapped it between the glass and screen of the door, but it found a crack before I could take a photo after felt like I had positively identified it.",[0],Unverified
We found this hornet dead on our deck...I believe our dog got it...not sure if it is a Murder hornet or not,[1],Unverified
"Updating my report from earlier today. We just saw the insect again, and snapped a picture this time. Fairly certain it is actually an Elm Sawfly.",[1],Unverified
caught this several times on my drive way camera. It was buzzing around for an hour or so not very clear but looks like some kinda big bee,[1],Unverified
"On May 8, 202o I observed an Asian Giant hornet fly around my back yard and land on my fence. Initially, I presumed it to be a regular bee, however it's unusually large size caught my attention. Upon further inspection I noted the large black and yellow",[1],Unverified
"I didn’t take a picture because I ran away, but I am 99% sure that the pictures I’ve seen of the Asian giant hornets (and nothing else) match up with what I saw.",[1],Unverified
I was sitting down eating some fruit when I heard a loud buzzing noise. I turned near the sound and there was one. It wasn't as long as some of the pictures but certainly was one.  It took off and haven't seen any more.,[1],Unverified
Saw this outside my house and wanted to report because it looks like the Asian hornet.,[0],Unverified
Flying around porch light at night.,[1],Unverified
I saw one in my front yard and again the following day in my backyard. I tried to capture/kill it but failed. I haven't seen one since.,[0],Unverified
"It continues to return to our kitchen window. Huge, at least an inch long. Haven’t seen the backside but protruding mandible looks like Asian hornet.",[1],Unverified
Began seeing these yesterday. Unsure if they were this kind. But they are BIG and orange. Near house/ wooded areas,[1],Unverified
"Found on my lawn.  Never seen before.  close to 2"".  However the face doesn't seem to match the pics I've seen.  I have the speciman preserved in Alcohol.",[1],Unverified
"I was leaving a friends house and my drivers side window was open. I stopped at stop sign and noticed a large insect buzzing against my windshield. It was very large >1"" hornet with distinctive yellow collared face of Asian Hornet. I quickly rolled up my",[0],Unverified
There appears to be an asian hornet in our house.,[1],Unverified
"Kinda yellow, so think it may be a bald-faced hornet, but wanted to be sure.",[0],Unverified
We saw what we think was the asian giant hornet on a tree by a dock at lake sawyer in black diamond. I have more pictures but it was hard to safely get a good quality picture from different angles.,[1],Unverified
The hornet was found in our daughters�?play area- a ravine. He was hovering on the ground. My daughter was suspicious that the pest had a wing injury because it was not flying- the children almost stepped on it when the realized its presence. My husban,[1],Unverified
Large yellow and orange bees. One chased me in the backyard.,[1],Unverified
Large orange bee/hornet in backyard.  One chased me out of the yard.,[1],Unverified
Orange aggressive bee/hornet,[0],Unverified
Flew in open patio door. Poor camera on phone unable to take picture. Left screen door open went to get wasp/hornet spray. When I came back have not seen; could have flown out open deck door.,[0],Unverified
Saw Asian hornet struggling in a container of water. I rescued it not realizing it was an Asian Hornet.,[1],Unverified
On the path,[1],Unverified
One Asian Giant Hornet entered through an open window on the NW side of the house on the 2nd floor. The hornet was stuck between the blinds and the window. It was much more aggressive than the nice Paper Wasps that hang out in our yard (but the Asian Gia,[1],Unverified
"Spotted one in caught in mesh over a garden bed. It got away before I could get a photo, but it had an orange head and was about an inch long.",[0],Unverified
"A large hornet is building a nest on an outsider light.  It's the biggest hornet I've ever seen, definitely more than one inch.",[0],Unverified
Costco parking lot in sequim,[0],Unverified
I saw this about an inch and a half long laying on its back on the sidewalk behind my house. Looks exactly like the pictures online. I thought it was a beetle. These pictures are taken right after I smushed it. Feel free to call or email me also 206-681-,[1],Unverified
Near a beehive,[1],Unverified
About 2�?long with abdomen roughly 1/4�?wide. Mostly black.,[1],Unverified
Biggest hornet I've ever seen was buzzing in my garden shed.  The picture is a little fuzzy; it looked like it was about 2 inches in size.,[0],Unverified
I had them in Kitsap County last year. There were everywhere in the area of burley and purdy. I thought they were normal wasps until i stumbled upon some of them coming out of the ground. They were orange not the normal yellow. I tried searching what the,[1],Unverified
"Oh hey, I am the kitsap person with the hornets from last year. I forgot to leave my contact info. here it is. I get back to email within minutes. Sorry about that",[1],Unverified
"Found large hornet approximately 2inches long, at Flaming Geyser Park in Auburn, WA. It had all of the correct colorings, body measurements, and stinger size. The hornet was dead and was missing a wing. It was upside down in the picture, so it does not a",[1],Unverified
"Orange in color, stinger in tact, orange face, black ""eyes""",[1],Unverified
"My daughter's just saw one at the Walmart in Clarkston, WA. They identified it by a picture online. My daughter said it was 'freaky big.' They didn't think of pictures because of it being mother's day and being in a hurry to get back. But, my daughters a",[0],Unverified
"Very large unusual hornet, not the typical ones I see here all the time.  I am a bee keeper and used a landscape torch on 2 of them.",[1],Unverified
Have in a container and picture,[1],Unverified
"Big hives of bees/hornets, I don’t know what they were but really big cloud and very loud flying over our house.",[1],Unverified
Riding my bike with my daughter I think I saw a big hornet bee... it was flying around us so I decided to ride my kid first before to take a picture. It looks bigger than a normal bee like my finger size,[1],Unverified
"Found in our beach house after leaving several doors open. All the windows are 2 feet by 2 feet. Looks like it might be an inch and a quarter or an inch and a half. We were leaving today anyway, so we plan to just close all doors and have leave it in the",[1],Unverified
"I saw a very large hornet in our yard.  I do not know if it was a killer hornet, but it was very large and have not seen one here before today.",[0],Unverified
Large 2 inch reddish insect struggling on ground thought was termite turned over before it was able to fly away abdomen had yellow and  black stripes,[0],Unverified
"Found dead in my parents driveway in Olympia, WA",[0],Unverified
Found this dead insect today it is decomposed so no idea what it really is.  I collected it in a jar.,[1],Unverified
Not sure if it's an Asian hornet or bald faced hornet so I figured I'd let you guys determine that,[0],Unverified
"Second observation.  First observed 4 weeks ago.  Tried to trap in bucket but was not successful.  Saw another today at 1600 hrs.  Did not look like any local wasp.  It was much larger, 1 1/2 - 2 inches, black body with orange strips.  Not able to get a",[0],Unverified
"Found poss carcass or shed at puyallup river trail, Sumner side. Also lots of holes in ground poss nest?",[0],Unverified
large hornet tired out after being stuck in my atrium all day. caught in cup and released in back yard. had seen it 2 nights ago on the fence.,[1],Unverified
Inside garage,[1],Unverified
Hello. We went to Mt. Baker for mothers day today and couldn't help but notice when we got back into the car we saw a very large bee (bigger than any we've seen) on our car window for about 3 seconds. We didn't have enough time to take a picture or reall,[0],Unverified
"This is the 2nd one in 24 hours that I have seen and killed in my front yard. The two stayed within the area throughout the day and stayed mainly low to the ground (grass, driveway and fallen leaves). The first one I squished pretty good and was hard to",[1],Unverified
found on the boom of our sailboat once lowering the boom...killed and kept it just in case it was,[1],Unverified
I have other photos if needed. It is a large bee with striping on its body that matches the photos. Last night on our security camera there was a swarm of insects that were traveling together intentionally. I’ve never seen anything like it and this mor,[1],Unverified
"A large, 2 inch hornet relating almost exactly to this description (and also the murder hornets that have been in the media lately) knocked into my patio window at the time stated above. It lingered only for a couple seconds before it flew away so I wasn",[0],Unverified
it seems pretty mad and really looks like it,[1],Unverified
I have a friend who works as a grounds keeper at the Desert Canyon golf course in Orono Wa. He has been attacked by these hornets several times. He said he noticed them around this time last year. There are several elderly people who live on the course a,[1],Unverified
"Very large hornet attacking our screen door. Difficult to photograph due to bright background. I am a native of Seattle and have never seen a hornet this large. At least 2 inches minimum in length. Body was long, but not slender in the middle like a regu",[1],Unverified
I noticed a honey bee in my house last week and this huge hornet this week,[0],Unverified
Spotted flying across yard back and forth into bushes.,[1],Unverified
Elm st Bellingham Wa in my apartment,[1],Unverified
My husband and I saw this very large bee on the Stimson trail near the Geneva pond site on the lake Whatcom side. It was about 2 �?long and it’s wings were about an inch long. I have a photo but was unable to download it to this site.,[0],Unverified
"I couldn't get a good look because it was flying, but I saw what looked to be a wasp or hornet over an inch long.",[1],Unverified
"1.5"" long.  On outside of my car window.  Held on 1/2 mile in strong wind.   Eastsound, WA - Orcas Island   Is it the Asian Giant?",[1],Unverified
I saw what I thought was a HUGE wasp from my car.  I did not take a picture,[0],Unverified
"loud buzz. Landed on my shed, where the little blue fuzzy bees like to hang out.",[0],Unverified
I was walking with my kids by Ardmore Park yesterday and Saturday and both days I saw them in the same spot.,[1],Unverified
"Found three, only one of which appeared to be alive, inside one of our sprinkler system boxes.",[0],Unverified
"An Asian hornet flew into my home through my screen door. I didn’t see it until I hear a very loud buzzing and looked down and saw it on the floor board by the screen. I did not get a photo of it, but without a doubt, it looked just like the Asian Horn",[0],Unverified
We saw these last year in Sedro woolley and didn’t know what they were can you help identify them,[0],Unverified
The dowel in the picture attached is 3/4 of an inch I believe. My friend and I were building a dock here in Moses Lake when we encountered the bee near the water’s edge.,[1],Unverified
I submitted an earlier notification but this app alerted me something may be wrong. So I resent it.,[1],Unverified
"Extremely large, feeding from flowers on our patio.",[1],Unverified
"Very large dark insect hit my sliding glass door several times. I look up and see this huge insect hitting my door. It flew south & happened so fast I didn't get much detail. I've never seen anything so huge like 2"" long or so & big dark head",[1],Unverified
Large dark hornet in my gazebo netting,[0],Unverified
"Very large, dark body, bright face.",[1],Unverified
"I am a 48 year old Washington state native, I am not allowed to carry a camera phone at work so i have no photo, however this was an easy ID to make considering the size and color of the insect. I had a co worker with me who can verify the incident.",[0],Unverified
Sitting on back porch - what we thought was humming bird flew by very fast but it was a large insect with a large orange head. There were honey bees swarming about quarter of a mile away from sighting. Sorry no picture.,[0],Unverified
97th and Roosevelt Seattle WA 98115,[0],Unverified
My neighbor captured a hornet in a plastic container and brought to me to discuss. I’ve attached picture. Neighbor still has the hornet if you want to collect and confirm identification.,[0],Negative ID
We have captured a very large hornet that was in our house it is still alive under glass,[1],Negative ID
"Found this hornet, dead, in our animals water dish. We are located in Chewelah, Washington in the northeast part of the state.",[0],Negative ID
They were not shy,[1],Negative ID
"I know this was before the official siting, but I came across this picture from lat June in Lake Chelan.  It was really large which is what caught my attention.  Not sure if it is one, but thought I would let you be the judge.",[1],Negative ID
Flew into my car on my way to work was about 1 inch and some change long and dark orangne,[0],Unverified
"2"" or larger hornet came to hummingbird feeder at dusk. Unable to see colors",[0],Unverified
Found dead on a steel truck.,[1],Negative ID
It was eating the wooden sign.,[0],Negative ID
"1-1/2 to 2�?long, hovered near our window for a minute but flew away before we could get the camera",[1],Unverified
Dead on our window sill,[1],Negative ID
"The hornet was about 2 1/2 - 3�?long, yellow, black with green tint.  Wings were about 2-3 �?long.  Never seen anything that big before.  It was resting on our palm tree and then it took off.  Not enough time for a pic. We’re in Sumner wa",[1],Unverified
"I was at Point Defiance, adjacent to the pavilion near the rhododendron garden when the possible Asian hornet passed me.  This is by no means a positive identification.  What I saw was a large flying insect that appeared light orange.",[0],Unverified
Large hornet similar in shape and color to Asian hornet cane through my sun roof and landed on my lap.,[1],Negative ID
I’ve seen a lot of bees. I spend a lot of time hiking in the woods. I am 99% positive that it is the Asian giant hornet. I have no photos,[1],Unverified
Was on my back porch and saw my puppy bouncing around something huge and yellow. Took a closer look and realized it was a wasp and immediately took him in. It’s been raining so it couldn’t fly so was able to get close. It was over an inch long. I too,[0],Unverified
