num,raw,processed,status,,,,,,,,,,,,,,,,,,,,,,,,
1125,A big orange hornet,"['big', 'orange', 'hornet']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1126,My app says tarantula wasp. Thought I should report it!,"['app', 'say', 'tarantula', 'wasp', 'Thought', 'report']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1127,Found along boardwalk; slowly dying.,"['Found', 'along', 'boardwalk', 'slowly', 'die']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1128,Saw entering my bee hive. Bees all gone now.,"['Saw', 'enter', 'bee', 'hive', 'Bees', 'go']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1129,one of our golfers at the Lake Chelan Golf Course turned this in this morning.,"['one', 'golfer', 'Lake', 'Chelan', 'Golf', 'Course', 'turn', 'morning']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1130,Lying on its back with wings tucked in and still slightly alive (legs moving); about 2 inches long total,"['Lying', 'back', 'wing', 'tuck', 'still', 'slightly', 'alive', 'leg', 'move', 'inch', 'long', 'total']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1131,Red color with white dot on back,"['Red', 'color', 'white', 'dot', 'back']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1132,Sitting on a leaf at the Billy Frank Jr. Nisqually National Wildlife Refuge,"['Sitting', 'leaf', 'Billy', 'Frank', 'Nisqually', 'National', 'Wildlife', 'Refuge']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1133,"A large Asian Giant Hornet came flying out of the bushes along the sidewalk of West Government Way between 34th Ave W & 35th Ave W, along the Kiwanis Memorial Preserve Park","['large', 'Asian', 'Giant', 'Hornet', 'come', 'fly', 'bush', 'along', 'sidewalk', 'West', 'Government', 'Way', '34th', 'Ave', '35th', 'Ave', 'along', 'Kiwanis', 'Memorial', 'Preserve', 'Park']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1134,"It was sighted on a covered patio. It landed on a clothes pin and began hitting the pin with its stinger.  I watched it for a few seconds to see if I could determine if it was the asian bee. It was about 1 1/2""-2""long and much larger bodied, mostly black","['sight', 'cover', 'patio', 'land', 'clothes', 'pin', 'begin', 'hit', 'pin', 'stinger', 'watch', 'second', 'see', 'could', 'determine', 'asian', 'bee', 'long', 'much', 'large', 'body', 'mostly', 'black']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1135,"My daughter Isabella and myself had seen the Asian hornet,  Larger than he described it,  Oh is this like we didn’t seem to going fast!","['daughter', 'Isabella', 'see', 'Asian', 'hornet', 'Larger', 'describe', 'like', 'seem', 'go', 'fast']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1136,"Was big, looked like a murder hornet from what we know from the news.","['Was', 'big', 'look', 'like', 'murder', 'hornet', 'know', 'news']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1137,saw one what on our deck and killed it. Was not able to get a photo.,"['saw', 'one', 'deck', 'kill', 'Was', 'able', 'get', 'photo']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1138,Found in swimming pool.,"['Found', 'swim', 'pool']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1139,I saw this insect floating in my kid’s pool. It’s larger than a quarter and next to a frisbee for scale.,"['saw', 'insect', 'float', 'kid', 'pool', 'large', 'quarter', 'next', 'frisbee', 'scale']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1140,I had noticed several summer 2019 for a two month period..Haven't seen any this year so far.Must not survived winter..My assumption,"['noticed', 'several', 'summer', '2019', 'two', 'month', 'period', 'Haven', 'see', 'year', 'far', 'Must', 'survive', 'winter', 'assumption']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1141,Suspect flew around me for 10-20 seconds. I’m allergic and was scared! No photo and I’m sorry. I tried to reach for my phone to take pictures but it was too dangerous,"['Suspect', 'fly', 'around', 'second', 'allergic', 'scar', 'photo', 'sorry', 'try', 'reach', 'phone', 'take', 'picture', 'dangerous']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1142,Date approximate. Found hornet on driveway ground near death. Recognize from media photos. Thought it was queen yellow jacket until saw photos in media. I killed it. Bagged and into garbage. Sorry no photo. Was too big for yellow jacket and color a bit d,"['Date', 'approximate', 'Found', 'hornet', 'driveway', 'ground', 'near', 'death', 'Recognize', 'medium', 'photo', 'Thought', 'queen', 'yellow', 'jacket', 'saw', 'photo', 'medium', 'kill', 'Bagged', 'garbage', 'Sorry', 'photo', 'Was', 'big', 'yellow', 'jacket', 'color', 'bit']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1143,"I was bicycling through Lincoln park in west port angeles wa. Midday in the fairground parking lot north of Lincoln park,and suddenly I saw a pair 2 very large dark insects fly by very fast that were very dark in color and looked from what I saw to be ju","['bicycle', 'Lincoln', 'park', 'west', 'port', 'angeles', 'Midday', 'fairground', 'park', 'lot', 'north', 'Lincoln', 'park', 'suddenly', 'saw', 'pair', 'large', 'dark', 'insect', 'fly', 'fast', 'dark', 'color', 'look', 'saw']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1144,This is my contact info from the prior submission of the sighting of a asian hornet nest last year in port angeles wa near Stevens middle school in alley between 12 and 13th on e st in the east end of the alley on the north side,"['This', 'contact', 'info', 'prior', 'submission', 'sight', 'asian', 'hornet', 'nest', 'last', 'year', 'port', 'angeles', 'near', 'Stevens', 'middle', 'school', 'alley', '13th', 'east', 'end', 'alley', 'north', 'side']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1145,"it was dark in color. I first thought it was a hummingbird, until I seen its shape (that of a hornet). It flew in one car window and out the other","['dark', 'color', 'first', 'think', 'hummingbird', 'see', 'shape', 'hornet', 'fly', 'one', 'car', 'window']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1146,Observed inside the Petrogas facility and flew away,"['Observed', 'inside', 'Petrogas', 'facility', 'fly', 'away']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1147,Please let me know what this thing is,"['Please', 'let', 'know', 'thing']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1148,Hornet is massive with an orange-red color on its lower half. It is approximately 1-1.5 inches long with a massive wingspan,"['Hornet', 'massive', 'orange', 'red', 'color', 'lower', 'half', 'approximately', 'inch', 'long', 'massive', 'wingspan']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1149,"Dead, found outside home at 4307 King Ave. Bellingham.","['Dead', 'find', 'outside', 'home', '4307', 'King', 'Ave', 'Bellingham']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1150,Found dead.  See attached photo.  No stinger present but it had been squished.,"['Found', 'dead', 'See', 'attach', 'photo', 'stinger', 'present', 'squish']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1151,The person claimed to have seen two.  Captured one - and gave to my husband.  (He's a maintenance guy - keeper of honey bees),"['The', 'person', 'claim', 'see', 'two', 'Captured', 'one', 'give', 'husband', 'maintenance', 'guy', 'keeper', 'honey', 'bee']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1152,Looks like elm sawfly - found on property - moving sluggish,"['Looks', 'like', 'elm', 'sawfly', 'find', 'property', 'move', 'sluggish']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1153,My mother seen it yesterday said it was hovering outside by the dryer vent and it had an orange head described it to be 2 inches big she grabbed my nephew and ran inside. Also there is a huge bee nest high up in the tree outside my house I googled what t,"['mother', 'see', 'yesterday', 'say', 'hover', 'outside', 'dryer', 'vent', 'orange', 'head', 'describe', 'inch', 'big', 'grab', 'nephew', 'ran', 'inside', 'Also', 'huge', 'bee', 'nest', 'high', 'tree', 'outside', 'house', 'google']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1154,Wacked him with my shoe ...nice shot,"['Wacked', 'shoe', 'nice', 'shot']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1155,Not sure what this was maybe the bald-faced one but have seen it three different times this June.,"['Not', 'sure', 'maybe', 'bald', 'face', 'one', 'see', 'three', 'different', 'time', 'June']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1156,Large wasp (approx. 1-1.5 inches) attracted to the parsley in our garden.  It flew away a couple of times but kept coming back.  We only spotted one and caught it in a container for identification.,"['Large', 'wasp', 'approx', 'inch', 'attract', 'parsley', 'garden', 'fly', 'away', 'couple', 'time', 'keep', 'come', 'back', 'spot', 'one', 'caught', 'container', 'identification']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1157,not sure if this is one or not.,"['sure', 'one']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1158,"Found this on our driveway this evening, looked almost dead when I saw it. Sent my husband out for pictures and to kill it. Forgot to put a coin down for size but it was about 2 inches.","['Found', 'driveway', 'even', 'look', 'almost', 'dead', 'saw', 'Sent', 'husband', 'picture', 'kill', 'Forgot', 'put', 'coin', 'size', 'inch']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1159,I couldn’t get a picture but I swear to god I saw one in my backyard.I live in West Seattle.,"['get', 'picture', 'swear', 'god', 'saw', 'one', 'backyard', 'live', 'West', 'Seattle']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1160,I think I saw one in our neighborhood. I didn’t see it clearly but it was massive and aggressive,"['think', 'saw', 'one', 'neighborhood', 'see', 'clearly', 'massive', 'aggressive']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1161,scared the hell out of me,"['scar', 'hell']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1162,It was on my railing and I went in to get a glass to trap it but it was gone when I came back out.,"['rail', 'go', 'get', 'glass', 'trap', 'go', 'come', 'back']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1163,"Not at all sure...the head of this critter is black.  I thought it was a beetle, but???","['Not', 'sure', 'head', 'critter', 'black', 'think', 'beetle']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1164,"about 1.5 inches long , could not get a photo","['inch', 'long', 'could', 'get', 'photo']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1165,I noticed 20+ hornets in my yellow jacket traps. They are much larger than the few yellow jackets I also caught in the traps. These large hornets match the above description exactly except that they have yellow legs.,"['notice', 'hornet', 'yellow', 'jacket', 'trap', 'They', 'much', 'large', 'yellow', 'jacket', 'also', 'catch', 'trap', 'These', 'large', 'hornet', 'match', 'description', 'exactly', 'except', 'yellow', 'leg']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1166,The head is missing. Crawled out from a log in a wood pile. Husband panicked and squished it so fast he didn’t see the head very well.,"['The', 'head', 'miss', 'Crawled', 'log', 'wood', 'pile', 'Husband', 'panic', 'squished', 'fast', 'see', 'head', 'well']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1167,It was about twice the size of a normal yellow jacket and the kids and I noticed the more orange/yellow color was different (bolder) than a “normal�?bee/wasp,"['twice', 'size', 'normal', 'yellow', 'jacket', 'kid', 'notice', 'orange', 'yellow', 'color', 'different', 'bolder', 'normal', 'bee', 'wasp']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1168,Found floating in the Teanaway river,"['Found', 'float', 'Teanaway', 'river']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1169,Found floating in Teanaway river,"['Found', 'float', 'Teanaway', 'river']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1170,We’ve seen 3 that look just like this one,"['see', 'look', 'like', 'one']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1171,Single very big hornet. Landed on people a couple of times.,"['Single', 'big', 'hornet', 'Landed', 'people', 'couple', 'time']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1172,"Outside on 8005 Martin way E saw it fly around two people and fly up and away towards carpenter rd, (not that far, but that general direction) was a very big insect that looked like a tiny bird but was a huge bug. Never seen a bug fly that was that big","['Outside', '8005', 'Martin', 'way', 'saw', 'fly', 'around', 'two', 'people', 'fly', 'away', 'towards', 'carpenter', 'far', 'general', 'direction', 'big', 'insect', 'look', 'like', 'tiny', 'bird', 'huge', 'bug', 'Never', 'see', 'bug', 'fly', 'big']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1173,Hard to see head in photo. Color is brown/orange.,"['Hard', 'see', 'head', 'photo', 'Color', 'brown', 'orange']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1174,"Hornet landed on a hemlock tree right in front (~3 feet) of me.  A neighbor was nearby and saw it and watched as it flew off toward my back yard. I attached a photo from an online site.  The third hornet, with the long 'stinger' at the back end is just w","['Hornet', 'land', 'hemlock', 'tree', 'right', 'front', 'foot', 'neighbor', 'nearby', 'saw', 'watch', 'flew', 'toward', 'back', 'yard', 'attach', 'photo', 'online', 'site', 'The', 'third', 'hornet', 'long', 'stinger', 'back', 'end']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1175,"No picture, but large 2+�?bee spotted flying around vehicle in driveway.","['picture', 'large', 'bee', 'spot', 'fly', 'around', 'vehicle', 'driveway']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1176,While cleaning gutters at my parents home,"['While', 'clean', 'gutter', 'parent', 'home']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1177,was found under some landscape fabric and sen by at least 5 to 7 people but was not able to photograph or capture,"['find', 'landscape', 'fabric', 'sen', 'least', 'people', 'able', 'photograph', 'capture']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1178,Found on ground next to my shop,"['Found', 'ground', 'next', 'shop']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1179,"Suspect murder hornet found in Lilliwaup, WA along Eagle Creek","['Suspect', 'murder', 'hornet', 'find', 'Lilliwaup', 'along', 'Eagle', 'Creek']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1180,"Sorry no photo. At Nisqually Natiinal Wildlife Refuge, on June 30, 2020 in the afternoon, I was talking to a park worker. We were on the back side of the pond, on the boardwalk. He had been ""water-blasting"" the wooden rails when, behind him, I spotted th","['Sorry', 'photo', 'Nisqually', 'Natiinal', 'Wildlife', 'Refuge', 'June', '2020', 'afternoon', 'talk', 'park', 'worker', 'back', 'side', 'pond', 'boardwalk', 'water', 'blast', 'wooden', 'rail', 'behind', 'spotted']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1181,"It seems longer and larger than a yellow jacket, but it has the dots on it’s back like a Yellowjacket unlike the black lines of a Asian giant hornet.","['seem', 'long', 'large', 'yellow', 'jacket', 'dot', 'back', 'like', 'Yellowjacket', 'unlike', 'black', 'line', 'Asian', 'giant', 'hornet']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1182,If hornet would like to set up traps,"['hornet', 'would', 'like', 'set', 'trap']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1183,I saw a very large wasp at least two inches long it looked like the giant Asian hornet aka murder bee,"['saw', 'large', 'wasp', 'least', 'two', 'inch', 'long', 'look', 'like', 'giant', 'Asian', 'hornet', 'aka', 'murder', 'bee']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1184,Asian Hornet?  Or Elm Sawfly,"['Asian', 'Hornet', 'Elm', 'Sawfly']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1185,Killed on a stump in back yard.,"['Killed', 'stump', 'back', 'yard']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1186,Accidentally flew into the car window. Found it under husband bottom on seat. r,"['Accidentally', 'flew', 'car', 'window', 'Found', 'husband', 'bottom', 'seat']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1187,The stinger seems longer than the photos we looked at but have seen a hornet or wasp this big!,"['The', 'stinger', 'seem', 'long', 'photo', 'look', 'see', 'hornet', 'wasp', 'big']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1188,We believe we saw the Asian killer hornet in our yard today.,"['believe', 'saw', 'Asian', 'killer', 'hornet', 'yard', 'today']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1189,On our back door. It was still and didn’t move when we got a picture.,"['back', 'door', 'still', 'move', 'get', 'picture']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1190,Single one flew in dog tried to catch it couldn't get pic but def murder hornet huge stinger and exactly as pictured example,"['Single', 'one', 'fly', 'dog', 'try', 'catch', 'get', 'pic', 'def', 'murder', 'hornet', 'huge', 'stinger', 'exactly', 'picture', 'example']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1191,Belfair wa,['Belfair'],Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1192,I saw the hornet on the walking path right by gate 9.,"['saw', 'hornet', 'walk', 'path', 'right', 'gate']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1193,Very large looks like pictures of,"['Very', 'large', 'look', 'like', 'picture']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1194,"Unidentified, huge insect in our house. We got him outside safely. He has a stinger (or think tail-like protuberance) approximately 3 inches. (Not visible in photo.)","['Unidentified', 'huge', 'insect', 'house', 'get', 'outside', 'safely', 'stinger', 'think', 'tail', 'like', 'protuberance', 'approximately', 'inch', 'Not', 'visible', 'photo']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1195,Killed it. Largest hornet or wasp I’ve ever seen. Doesn’t have the striping on the body but it was being chased by other bees.,"['Killed', 'Largest', 'hornet', 'wasp', 'ever', 'see', 'Doesn', 'strip', 'body', 'chase', 'bee']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1196,Not sure what this is? Was a little bigger than a wasp.,"['Not', 'sure', 'Was', 'little', 'big', 'wasp']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1197,I have one of these hornets in my freezer. It was caught today near Selah Washington.,"['one', 'hornets', 'freezer', 'catch', 'today', 'near', 'Selah', 'Washington']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1198,"1 1/2 to 2 inches long prominent red or orange line on it's back. Huge wingspan. At Beebe park in Orondo, was. Did not seem to be very aggressive.","['inch', 'long', 'prominent', 'red', 'orange', 'line', 'back', 'Huge', 'wingspan', 'Beebe', 'park', 'Orondo', 'Did', 'seem', 'aggressive']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1199,"Sitting in sun on patio and heard fairly loud buzzing and felt hornet hit land land on arm.  It was only 8 to 10 inches from my eyes.  Got a pretty good look, then off like a shot.","['Sitting', 'sun', 'patio', 'hear', 'fairly', 'loud', 'buzz', 'felt', 'hornet', 'hit', 'land', 'land', 'arm', 'inch', 'eye', 'Got', 'pretty', 'good', 'look', 'like', 'shot']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1200,Saw this creature on my deck but was too slow to get a better picture. It was a bit over an inch long and kind of looks like the bald-face hornet you've pictured but I'm not sure.,"['Saw', 'creature', 'deck', 'slow', 'get', 'well', 'picture', 'bit', 'inch', 'long', 'kind', 'look', 'like', 'bald', 'face', 'hornet', 'picture', 'sure']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1201,Flying around in Wenatchee WA,"['Flying', 'around', 'Wenatchee']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1202,Still alive but not moving much. Is this a murder hornet?,"['Still', 'alive', 'move', 'much', 'murder', 'hornet']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1203,Its been dead for a while don't know how long found in the soil of a potted tree.,"['Its', 'dead', 'know', 'long', 'find', 'soil', 'pot', 'tree']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1204,Our camera outside took video of this wasp.  It looks to be quite large.  We wondered if it might be a giant Asian hornet.  Photo attached.,"['Our', 'camera', 'outside', 'take', 'video', 'wasp', 'look', 'quite', 'large', 'wonder', 'might', 'giant', 'Asian', 'hornet', 'Photo', 'attach']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1205,Found this dead laying on the pavement across the tracks from Golden Gardens,"['Found', 'dead', 'lay', 'pavement', 'across', 'track', 'Golden', 'Gardens']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1206,Pic attached bad view,"['Pic', 'attach', 'bad', 'view']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1207,Hope this is not a giant Asian hornet but never seen this insect before. About 1 1/2 inches long with stinger 1/2 long. Looks like some wikipedia images. Have insect in plastic bag in refrigerator for safe keeping. Have more images,"['Hope', 'giant', 'Asian', 'hornet', 'never', 'see', 'insect', 'About', 'inch', 'long', 'stinger', 'long', 'Looks', 'like', 'wikipedia', 'image', 'Have', 'insect', 'plastic', 'bag', 'refrigerator', 'safe', 'keep', 'Have', 'image']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1208,Large “hornet�?about 2 fingers in size. Best discretion is a June bug but more length than with. It flew around me a couple times and as soon as I noticed it it flew away. No photo. Encounter was brief but the sound and size. It was massive. I was un,"['Large', 'hornet', 'finger', 'size', 'Best', 'discretion', 'June', 'bug', 'length', 'fly', 'around', 'couple', 'time', 'soon', 'notice', 'flew', 'away', 'photo', 'Encounter', 'brief', 'sound', 'size', 'massive']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1209,Big hornet or Wasp?,"['Big', 'hornet', 'Wasp']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1210,Hissing sound when I moved it with my foot,"['Hissing', 'sound', 'move', 'foot']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1211,"She found it on her back porch in Colton, WA, right behind the Colton High School. She said it was kind of lethargic and she sprayed it with wasp spray","['She', 'find', 'back', 'porch', 'Colton', 'right', 'behind', 'Colton', 'High', 'School', 'She', 'say', 'kind', 'lethargic', 'spray', 'wasp', 'spray']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1212,"Without a shadow of a doubt, I saw one in Magnolia around 7-8ish during sunset on 4th of July in my friends front yard. The body, wings, shape, size and speed made me immediately realize that was what I was looking at and am 100% positive by comparing wh","['Without', 'shadow', 'doubt', 'saw', 'one', 'Magnolia', 'around', '8ish', 'sunset', '4th', 'July', 'friend', 'front', 'yard', 'The', 'body', 'wing', 'shape', 'size', 'speed', 'make', 'immediately', 'realize', 'look', '100', 'positive', 'comparing']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1213,Not sure if this is one but I found this I. Ferndale on Vista Dr just on the sidewalk.,"['Not', 'sure', 'one', 'find', 'Ferndale', 'Vista', 'sidewalk']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1214,I noticed a larger wasp in my wasp trap today.  It was bigger than any other wasp in the trap although not as big as some of the pictures I’ve seen on the news.  It did have a more pronounced yellow body and yellow head than the other hornets in the tr,"['notice', 'large', 'wasp', 'wasp', 'trap', 'today', 'big', 'wasp', 'trap', 'although', 'big', 'picture', 'see', 'news', 'pronounce', 'yellow', 'body', 'yellow', 'head', 'hornet']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1215,Call received by Organic Program. No additional information left in message.,"['Call', 'received', 'Organic', 'Program', 'additional', 'information', 'leave', 'message']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1216,He was killed on my patio. I still have the dead bee in a cup w/ a lid on it,"['kill', 'patio', 'still', 'dead', 'bee', 'cup', 'lid']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1217,"Found on my windshield of my truck, it was still alive when I caught it!","['Found', 'windshield', 'truck', 'still', 'alive', 'caught']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1218,"While trimming blackberries, I saw a large, wasp like bug fall from one of the bushes. It was about the size of a dollar coin and bulky. Not long and slender. After looking at the possible other insects, it could have been an elm sawfly.","['While', 'trim', 'blackberry', 'saw', 'large', 'wasp', 'like', 'bug', 'fall', 'one', 'bush', 'size', 'dollar', 'coin', 'bulky', 'Not', 'long', 'slender', 'After', 'look', 'possible', 'insect', 'could', 'elm', 'sawfly']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1219,Saw large hornet flying in back yard. I tried to snap a photo but it flew away. Seemed disinterested in us.,"['Saw', 'large', 'hornet', 'fly', 'back', 'yard', 'try', 'snap', 'photo', 'fly', 'away', 'Seemed', 'disinterested']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1220,Found in pool.,"['Found', 'pool']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1221,I HAVE THE HORNET IF WANTED,"['HAVE', 'THE', 'HORNET', 'WANTED']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1222,Found at Bebee State Park Beach Eastern Washington,"['Found', 'Bebee', 'State', 'Park', 'Beach', 'Eastern', 'Washington']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1223,"I was cycling on Tahuyah/Bear Creek Road past Panther Lake and before Elfendahl when I was hit in the shin by a LARGE wasp, which did not die and proceeded to sting me.","['cycle', 'Tahuyah', 'Bear', 'Creek', 'Road', 'past', 'Panther', 'Lake', 'Elfendahl', 'hit', 'shin', 'LARGE', 'wasp', 'die', 'proceed', 'sting']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1224,"Our family was at the pool and what appeared to be a large, 2in long hornet flew near by.","['Our', 'family', 'pool', 'appear', 'large', '2in', 'long', 'hornet', 'fly', 'near']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1225,Seen at royal columns climbing area across from oak creek wildlife area,"['Seen', 'royal', 'column', 'climb', 'area', 'across', 'oak', 'creek', 'wildlife', 'area']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1226,Hit this bug with our car between fall city and Seattle. Not sure if it’s an Asian hornet or not,"['Hit', 'bug', 'car', 'fall', 'city', 'Seattle', 'Not', 'sure', 'Asian', 'hornet']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1227,"About 2 inch long, watering lawn, trapped it.","['About', 'inch', 'long', 'water', 'lawn', 'trap']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1228,We have it in a mason jar for reference if needed,"['mason', 'jar', 'reference', 'need']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1229,"Over 2 inches, black eyed, red is marking. Just arrived to campground at Millbay RV in Chelan, WA. Kept door on car open while unloading and found one inside the car.","['Over', 'inch', 'black', 'eyed', 'red', 'marking', 'Just', 'arrive', 'campground', 'Millbay', 'Chelan', 'Kept', 'door', 'car', 'open', 'unload', 'find', 'one', 'inside', 'car']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1230,A little bit bigger than quarter size,"['little', 'bit', 'big', 'quarter', 'size']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1231,Have sample,"['Have', 'sample']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1232,"1.5-1.75"" long ,,,orange color,NOT YELLOW! Big head,,,sitting on my patio,it flew to sniff a few Rose's in the centerpiece,never had enough time to swat it,,,absolute positive id","['long', 'orange', 'color', 'NOT', 'YELLOW', 'Big', 'head', 'sit', 'patio', 'fly', 'sniff', 'Rose', 'centerpiece', 'never', 'enough', 'time', 'swat', 'absolute', 'positive']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
1233,Wasp is alive inside a container. Really aggressive. Approximately 1.5 inches long.,"['Wasp', 'alive', 'inside', 'container', 'Really', 'aggressive', 'Approximately', 'inch', 'long']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1234,I only have a video of when a possible hornet set off my camera.,"['video', 'possible', 'hornet', 'set', 'camera']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1235,I was walking into my house and saw it on the walkway and grass area.,"['walk', 'house', 'saw', 'walkway', 'grass', 'area']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
1236,2�?long. Biggest wasp I’ve ever seen. Friend got photo. I have it in text messages,"['long', 'Biggest', 'wasp', 'ever', 'see', 'Friend', 'get', 'photo', 'text', 'message']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
